연도,사고,사망,부상
2000년,"3,910",569,"2,845"
2001년,"3,638",456,"2,331"
2002년,"3,957",421,"2,115"
2003년,"3,585",348,"1,843"
2004년,"3,242",300,"1,555"
2005년,"2,880",249,"1,170"
2006년,"2,583",284,"1,131"
2007년,"2,550",283,"1,114"
2008년,"2,449",265,955
2009년,"2,374",248,"1,031"
2010년,"2,368",353,983
2011년,"2,640",265,"1,731"
2012년,"2,600",343,"1,619"
2013년,"2,496",264,"1,253"
2014년,"2,395",253,"1,148"
2015년,"2,251",223,"1,054"
2016년,"2,195",239,"1,424"
2017년,"2,145",214,911
2018년,"2,030",227,858
